"date","type_customer","n_trips"
2021-12-17,"casual",2491
2021-12-17,"member",6420
2021-12-17,"all",8911
2021-12-18,"casual",2009
2021-12-18,"member",4223
2021-12-18,"all",6232
2021-12-19,"casual",2031
2021-12-19,"member",3882
2021-12-19,"all",5913
2021-12-20,"casual",2196
2021-12-20,"member",5300
2021-12-20,"all",7496
2021-12-21,"casual",1609
2021-12-21,"member",5158
2021-12-21,"all",6767
2021-12-22,"casual",1246
2021-12-22,"member",3955
2021-12-22,"all",5201
2021-12-23,"casual",1749
2021-12-23,"member",4265
2021-12-23,"all",6014
2021-12-24,"casual",1712
2021-12-24,"member",2991
2021-12-24,"all",4703
2021-12-25,"casual",1516
2021-12-25,"member",1494
2021-12-25,"all",3010
2021-12-26,"casual",1545
2021-12-26,"member",2246
2021-12-26,"all",3791
2021-12-27,"casual",1537
2021-12-27,"member",3285
2021-12-27,"all",4822
2021-12-28,"casual",625
2021-12-28,"member",2161
2021-12-28,"all",2786
2021-12-29,"casual",1415
2021-12-29,"member",3885
2021-12-29,"all",5300
2021-12-30,"casual",1805
2021-12-30,"member",4247
2021-12-30,"all",6052
2021-12-31,"casual",2348
2021-12-31,"member",4064
2021-12-31,"all",6412
